Permissionaria;Autos;TC;Denominacao_da_linha;caracteristica
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;8231;5;TAUBATE - GUARATINGUETA;Rodoviária Convencional
EMPRESA CRUZ DE TRANSPORTES LTDA;8232;4;ARARAQUARA - SAO JOSE DO RIO PRETO;Rodoviária Convencional
RAPIDO LUXO CAMPINAS LTDA;8233;1;TATUI - QUADRA;Rodoviária Convencional
BREDA SOROCABA TRANSPORTES E TUR. LTDA;8241;2;ITAPETININGA - REGISTRO;Rodoviária Convencional
BREDA SOROCABA TRANSPORTES E TUR. LTDA;8242;2;ITAPETININGA - SAO MIGUEL ARCANJO;Rodoviária Convencional
BREDA SOROCABA TRANSPORTES E TUR. LTDA;8244;2;S.M.ARCANJO(ABAITINGA) - ITAPETININGA;Semiurbana
PORTO DE REGISTRO TRANSPORTES LTDA;8247;5;SETE BARRAS - REGISTRO;Semiurbana
SÃO JOÃO FRETAMENTO E TURISMO S/A;8252;2;VOTORANTIM(Vila Nova) - SOROCABA(Via Barcelona);Semiurbana
AUTO ÔNIBUS SÃO JOÃO LTDA;8253;2;VOTORANTIM(terminal) - SOROCABA(Via Pinheiros);Semiurbana
SÃO JOÃO FRETAMENTO E TURISMO S/A;8254;2;VOTORANTIM(Vila Nova) - SOROCABA(Vila Garcia);Semiurbana
JANDAIA TRANSPORTES E TURISMO LTDA;8258;3;PRESIDENTE PRUDENTE - PRESIDENTE BERNARDES;Semiurbana
TRANSPEN-TRANSPORTE COLETIVO E ENCOMENDAS LTDA;8266;2;RIBEIRAO BRANCO - ITAPEVA;Semiurbana
VIAÇÃO VALE DO TIETE LTDA;8267;2;SÃO PAULO(BARRA FUNDA) - LARANJAL PAULISTA;Rodoviária Convencional
VIAÇÃO VALE DO TIETE LTDA;8268;2;TIETE - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional
TRANSRAPIDO SÃO FRANCISCO LTDA;8292;4;VOTUPORANGA - NHANDEARA;Rodoviária Convencional
